399,7;0,0%
400,2;-1,2%
400,6;-1,0%
401,1;-0,8%
401,6;-0,7%
402,1;-0,7%
402,6;-0,6%
403,0;-0,6%
403,5;-0,6%
404,0;-0,6%
404,5;-0,6%
405,0;-0,6%
405,5;-0,6%
405,9;-0,7%
406,4;-0,7%
406,9;-0,8%
407,4;-0,8%
407,9;-0,9%
408,4;-0,9%
408,8;-0,9%
409,3;-1,0%
409,8;-1,0%
410,3;-1,0%
410,8;-1,0%
411,2;-0,9%
411,7;-0,9%
412,2;-0,8%
412,7;-0,8%
413,2;-0,7%
413,7;-0,7%
414,1;-0,7%
414,6;-0,7%
415,1;-0,7%
415,6;-0,7%
416,1;-0,8%
416,5;-0,8%
417,0;-0,9%
417,5;-0,9%
418,0;-0,9%
418,5;-0,9%
419,0;-0,8%
419,4;-0,7%
419,9;-0,6%
420,4;-0,5%
420,9;-0,5%
421,4;-0,5%
421,9;-0,4%
422,3;-0,4%
422,8;-0,4%
423,3;-0,5%
423,8;-0,5%
424,3;-0,5%
424,7;-0,6%
425,2;-0,6%
425,7;-0,6%
426,2;-0,6%
426,7;-0,6%
427,2;-0,6%
427,6;-0,7%
428,1;-0,7%
428,6;-0,7%
429,1;-0,8%
429,6;-0,8%
430,0;-0,8%
430,5;-0,8%
431,0;-0,8%
431,5;-0,8%
432,0;-0,8%
432,5;-0,8%
432,9;-0,8%
433,4;-0,7%
433,9;-0,7%
434,4;-0,7%
434,9;-0,6%
435,4;-0,6%
435,8;-0,6%
436,3;-0,6%
436,8;-0,6%
437,3;-0,6%
437,8;-0,6%
438,2;-0,6%
438,7;-0,6%
439,2;-0,7%
439,7;-0,7%
440,2;-0,7%
440,7;-0,7%
441,1;-0,8%
441,6;-0,8%
442,1;-0,8%
442,6;-0,9%
443,1;-0,9%
443,5;-0,9%
444,0;-0,9%
444,5;-0,8%
445,0;-0,8%
445,5;-0,8%
446,0;-0,7%
446,4;-0,7%
446,9;-0,7%
447,4;-0,7%
447,9;-0,7%
448,4;-0,7%
448,9;-0,7%
449,3;-0,6%
449,8;-0,6%
450,3;-0,6%
450,8;-0,6%
451,3;-0,7%
451,7;-0,7%
452,2;-0,7%
452,7;-0,7%
453,2;-0,7%
453,7;-0,7%
454,2;-0,7%
454,6;-0,7%
455,1;-0,7%
455,6;-0,7%
456,1;-0,7%
456,6;-0,7%
457,0;-0,6%
457,5;-0,6%
458,0;-0,6%
458,5;-0,5%
459,0;-0,5%
459,5;-0,5%
459,9;-0,4%
460,4;-0,4%
460,9;-0,4%
461,4;-0,4%
461,9;-0,4%
462,3;-0,4%
462,8;-0,4%
463,3;-0,4%
463,8;-0,5%
464,3;-0,5%
464,8;-0,5%
465,2;-0,6%
465,7;-0,6%
466,2;-0,6%
466,7;-0,5%
467,2;-0,5%
467,7;-0,5%
468,1;-0,5%
468,6;-0,5%
469,1;-0,5%
469,6;-0,5%
470,1;-0,5%
470,5;-0,5%
471,0;-0,5%
471,5;-0,6%
472,0;-0,6%
472,5;-0,6%
473,0;-0,6%
473,4;-0,5%
473,9;-0,5%
474,4;-0,5%
474,9;-0,5%
475,4;-0,5%
475,8;-0,5%
476,3;-0,5%
476,8;-0,5%
477,3;-0,5%
477,8;-0,5%
478,3;-0,5%
478,7;-0,6%
479,2;-0,6%
479,7;-0,6%
480,2;-0,6%
480,7;-0,6%
481,2;-0,6%
481,6;-0,6%
482,1;-0,6%
482,6;-0,7%
483,1;-0,7%
483,6;-0,7%
484,0;-0,7%
484,5;-0,7%
485,0;-0,7%
485,5;-0,7%
486,0;-0,7%
486,5;-0,7%
486,9;-0,7%
487,4;-0,7%
487,9;-0,7%
488,4;-0,7%
488,9;-0,7%
489,3;-0,7%
489,8;-0,7%
490,3;-0,7%
490,8;-0,7%
491,3;-0,7%
491,8;-0,7%
492,2;-0,7%
492,7;-0,7%
493,2;-0,7%
493,7;-0,6%
